,BRA,IND,ZAF,POL
2022-03-23 00:00:00,0.5549550574090991,-1.3814923255562535,-0.5251190822416882,-1.3255686673208837
2022-03-24 00:00:00,0.616845959103426,-1.3556254134926518,-0.5849732941042993,-1.3955310063835349
2022-03-25 00:00:00,0.6220035100481086,-1.3078854109692892,-0.6392330274678524,-1.4646482316734273
2022-03-28 00:00:00,0.6046761921589949,-1.219624324603975,-0.6243144867982839,-1.3744109315068818
2022-03-29 00:00:00,0.6230936181365054,-1.1527094805069498,-0.5648894601099239,-1.373477392205362
2022-03-30 00:00:00,0.6575720723011869,-1.1542816840793981,-0.5507253470773978,-1.2540534610142755
2022-03-31 00:00:00,0.6494925556753671,-1.1403747166612395,-0.5490514410212147,-1.2036205358245842
2022-04-01 00:00:00,0.7633575566615375,-1.1152017906571798,-0.49028632109152137,-1.2538158332483182
2022-04-04 00:00:00,0.7702091457302923,-1.055990943756292,-0.46759269458153385,-1.2736205112268313
2022-04-05 00:00:00,0.6443254084541528,-1.1735133607620976,-0.5343374938862739,-1.2817025346331765
2022-04-06 00:00:00,0.5212612955131158,-1.2033121844006787,-0.5883881957808563,-1.3441968763194492
2022-04-07 00:00:00,0.4537554422488071,-0.9876669399499391,-0.5770236826152569,-1.3734591663502322
2022-04-08 00:00:00,0.5340288222140974,-0.817880638042469,-0.5246190295212632,-1.359151858730352
2022-04-11 00:00:00,0.5018585067701107,-0.8094985624495801,-0.48478672624542996,-1.342012882892692
2022-04-12 00:00:00,0.46284325468551374,-0.8423769932765509,-0.530213301339276,-1.3784349181690112
2022-04-13 00:00:00,0.534520184486555,-0.7672192817570628,-0.5924595361953489,-1.3653810369180897
2022-04-14 00:00:00,0.500734495530279,-0.7564516180093722,-0.5735782105349552,-1.3272880677695629
2022-04-15 00:00:00,0.5190139565043573,-0.6950877876715493,-0.37935693001680887,-1.3609930745684347
2022-04-18 00:00:00,0.5722327304292335,-0.6431352504585338,-0.3277979379728275,-1.2638698842843394
2022-04-19 00:00:00,0.6044373690158708,-0.5995984180899994,-0.26492473028820235,-1.2668094626161488
2022-04-20 00:00:00,0.6160352474522264,-0.5271083381780909,-0.17796952894380844,-1.2543979478810634
2022-04-21 00:00:00,0.6498505374412615,-0.3711461563985169,-0.16412143875457047,-1.1264844319155536
2022-04-22 00:00:00,0.443505224038076,-0.41542796966017426,-0.1897289488207887,-1.1292673445749326
2022-04-25 00:00:00,0.0014591887436687572,-0.37868047776995933,-0.4277487283545681,-1.14793890180084
2022-04-26 00:00:00,-0.2609368455500544,-0.32460319604455234,-0.32891575561458514,-1.201076671961224
2022-04-27 00:00:00,-0.38542807233410414,-0.2927272042306793,0.014245740071940642,-1.382335581124344
2022-04-28 00:00:00,-0.2552733784168937,-0.2895062887603899,0.05705651060019097,-1.404425291801694
2022-04-29 00:00:00,-0.3144790882517044,-0.3057013638642124,0.13671043142440162,-1.408677864445281
2022-05-02 00:00:00,-0.40232844229399484,-0.3070235451815315,0.10250412095207932,-1.3675950975516367
2022-05-03 00:00:00,-0.506740206243243,-0.25481671881220547,0.09193459384850954,-1.399182730580749
2022-05-04 00:00:00,-0.508031628219344,-0.36151066014450384,-0.053067278749364385,-1.3900266803267722
2022-05-05 00:00:00,-0.6053997708541817,-0.4151348332072003,-0.16175772081094725,-1.2943508338265315
2022-05-06 00:00:00,-0.7699873668416543,-0.4868133434120248,-0.2586039335082485,-1.4161469937231694
2022-05-09 00:00:00,-0.8410815682961753,-0.496233553069991,-0.3700021086320294,-1.4147741505021134
2022-05-10 00:00:00,-0.9088352284536628,-0.46882379795135254,-0.30646078354996253,-1.3892230714373612
2022-05-11 00:00:00,-0.8632844050670373,-0.4306684951711355,-0.302388889829811,-1.3605897147548527
2022-05-12 00:00:00,-0.8297865861991498,-0.5054593163246552,-0.42500314766563374,-1.3575182849374459
2022-05-13 00:00:00,-0.7513975585830569,-0.47926929643875354,-0.4051629635515302,-1.4312989556827471
2022-05-16 00:00:00,-0.6467263877417065,-0.3919233367539371,-0.36240912995102825,-1.436271536261374
2022-05-17 00:00:00,-0.5491137269094002,-0.33608359932157517,-0.3437948833250742,-1.392971210110339
2022-05-18 00:00:00,-0.751112602942206,-0.4475738256951827,-0.4213604621490552,-1.3267920707218048
2022-05-19 00:00:00,-0.7138809693779501,-0.5002164915491243,-0.46239715554310135,-1.3625426587447327
2022-05-20 00:00:00,-0.6502083159382951,-0.625054984767589,-0.5363242164603583,-1.310528567511927
2022-05-23 00:00:00,-0.5460342845127288,-0.6162874926411747,-0.5098667728156308,-1.2947881891052697
2022-05-24 00:00:00,-0.528605230796316,-0.6813827007879012,-0.5764941783937497,-1.2151244158308732
2022-05-25 00:00:00,-0.522682239519825,-0.6859551711893584,-0.60918117266425,-1.1661458322999594
2022-05-26 00:00:00,-0.47581463132714213,-0.6762969287573466,-0.5724020767863466,-1.1987553475481776
2022-05-27 00:00:00,-0.4613637084456964,-0.6520894100991812,-0.5402475333304446,-1.1776091716192858
2022-05-30 00:00:00,-0.49252029716960305,-0.6205475269911351,-0.5149726535577811,-1.130198381017052
2022-05-31 00:00:00,-0.4756863149860935,-0.6460310975161554,-0.517982365789583,-1.126979829617089
2022-06-01 00:00:00,-0.46099420744160613,-0.6308629612886056,-0.6262083874271382,-1.1415833374416318
2022-06-02 00:00:00,-0.5142926912474447,-0.5887005748320115,-0.6117129135955239,-1.2075546151600636
2022-06-03 00:00:00,-0.5113885975740297,-0.6219477392844472,-0.6334566438697348,-1.1374883638831192
2022-06-06 00:00:00,-0.2961727506165283,-0.5903920073506942,-0.4363318877142258,-1.1739957300658035
2022-06-07 00:00:00,-0.2146047228680214,-0.5808649713946488,-0.5347385657469453,-1.1833172003434282
2022-06-08 00:00:00,-0.27600110424589414,-0.5939114504184817,-0.5812887993764233,-1.1259871004793411
2022-06-09 00:00:00,-0.36787478872203777,-0.5303660978600192,-0.6580362285790486,-1.1313673757928515
2022-06-10 00:00:00,-0.433235806093335,-0.5752655736874026,-0.6954557776614425,-1.2308550753039351
2022-06-13 00:00:00,-0.721871721378465,-0.6718053760008966,-0.7579313391816345,-1.3319060994183767
2022-06-14 00:00:00,-0.8628993644579913,-0.6790526770059994,-0.7467804235857627,-1.4500691013310547
2022-06-15 00:00:00,-0.6553747693546254,-0.6701039346654125,-0.7421891380421202,-1.4416493221872841
2022-06-16 00:00:00,-0.5760648185334034,-0.6932219017739969,-0.7904692267591183,-1.4163274708318812
2022-06-17 00:00:00,-0.6778182229364623,-0.6131527229790428,-0.9600292747376128,-1.4240592601204205
2022-06-20 00:00:00,-0.7800814402220343,-0.5701853060003611,-0.8847227208095501,-1.397439022639872
2022-06-21 00:00:00,-0.7636835418771865,-0.5329085524070448,-0.8509235036351658,-1.340681297860344
2022-06-22 00:00:00,-0.7449058510927444,-0.5618447302779916,-0.9152246257085362,-1.3207372827168218
2022-06-23 00:00:00,-0.8955392232594236,-0.5001745770875241,-0.9194005624375787,-1.3898919495953501
2022-06-24 00:00:00,-0.8976780404216679,-0.49659401522400787,-0.8077652208497292,-1.413520373115722
2022-06-27 00:00:00,-0.77329225929568,-0.4750722743395367,-0.7920354358888461,-1.3699520293054608
2022-06-28 00:00:00,-0.7745948818132244,-0.36556817899663413,-0.7552990959373,-1.3519990991881028
2022-06-29 00:00:00,-0.6366542635182816,-0.3419333744827634,-0.7217441992962252,-1.3975207732500399
2022-06-30 00:00:00,-0.7150361852523465,-0.25699255400592125,-0.8528041353136742,-1.405562895291057
2022-07-01 00:00:00,-0.7306751759302365,-0.09244607953576833,-0.8882471179280083,-1.421223705345751
2022-07-04 00:00:00,-0.7510005631480831,-0.04636436057252033,-0.7958872020122856,-1.4405173546437733
2022-07-05 00:00:00,-0.6913705071153106,-0.009517656692147798,-1.0566489747583308,-1.4467807371228825
2022-07-06 00:00:00,-0.7202297375425104,0.0019475508909433646,-0.979770856764153,-1.6161119042153151
2022-07-07 00:00:00,-0.6841643680973655,-0.05793010291598963,-0.8050083503837601,-1.7016023697593807
2022-07-08 00:00:00,-0.7011967366114374,-0.01880427077054073,-0.7661943911543813,-1.7231876895413167
2022-07-11 00:00:00,-0.8351551143583139,0.03908741296291873,-0.7916982913249482,-1.7024709122697883
2022-07-12 00:00:00,-0.9876683506186597,0.03945201163735207,-0.7445373112849143,-1.8309534182626226
2022-07-13 00:00:00,-1.02948467411413,0.024049015860548053,-0.8241037003719671,-1.8549996333030707
2022-07-14 00:00:00,-1.0796857853104134,0.04244719517365175,-0.9845217968550186,-1.8721700993386825
2022-07-15 00:00:00,-1.0674863372297663,0.08510775612756272,-0.9350831404037605,-1.8438769411559819
2022-07-18 00:00:00,-1.0410151598242239,0.07554258596877761,-0.9170656739063878,-1.7835359986682822
2022-07-19 00:00:00,-1.020414920196181,0.10605855972991671,-0.861424606384963,-1.740091634451011
2022-07-20 00:00:00,-0.979608724740266,0.09655459079970022,-0.8735742569305438,-1.6868019615364027
2022-07-21 00:00:00,-0.988179425815238,0.12438911759558754,-0.8267527085581483,-1.7418642026245987
2022-07-22 00:00:00,-0.9927296692264027,0.12442763628253567,-0.8022066233158793,-1.7034742439701525
2022-07-25 00:00:00,-0.8515156306234565,0.25264465420940463,-0.8258851565075513,-1.6773277164167
2022-07-26 00:00:00,-0.8637793175777017,0.19231576769284572,-0.7751083359107018,-1.6345036926846461
2022-07-27 00:00:00,-0.8051113080630636,0.23468860040322911,-0.675793103303184,-1.7455349392133792
2022-07-28 00:00:00,-0.7623604714045369,0.3330522147239204,-0.7038327120123224,-1.7357428265518795
2022-07-29 00:00:00,-0.6511253412607599,0.2959323403867553,-0.5759037104169864,-1.7139062099626199
2022-08-01 00:00:00,-0.6202892909463626,0.22408856887038237,-0.5638708324039389,-1.673926118705097
2022-08-02 00:00:00,-0.5747765126694425,0.21472142692260807,-0.6457718542383162,-1.6197697072239936
2022-08-03 00:00:00,-0.6413168869830111,0.21193627700520568,-0.5004214581819413,-1.6961126561052433
2022-08-04 00:00:00,-0.5126126605125967,0.20444629923233715,-0.4954914788437672,-1.6586248675847748
2022-08-05 00:00:00,-0.4699856225121725,0.2163564205890234,-0.44828068514938235,-1.6226226544165578
2022-08-08 00:00:00,-0.3561009646771496,0.25055512103620625,-0.30741871914405555,-1.6701658062549998
2022-08-09 00:00:00,-0.33051036313262927,0.26861536913285267,-0.33214158344720823,-1.6396971876506639
2022-08-10 00:00:00,-0.2545606916121047,0.368159371808855,-0.3924778175097189,-1.6345121902187905
2022-08-11 00:00:00,-0.19587455261745165,0.28345839557209124,-0.31553341471136087,-1.5615084650333
2022-08-12 00:00:00,-0.13972722682056118,0.285326693491749,-0.33933863175784207,-1.5620386930902757
2022-08-15 00:00:00,-0.06239042799220417,0.284556512963215,-0.291265091079969,-1.5631483816154907
2022-08-16 00:00:00,-0.05396094621193274,0.2954877260801375,-0.037562136962069254,-1.6643320667376842
2022-08-17 00:00:00,-0.06626577858669704,0.2809389131775511,-0.09814552893958697,-1.5932046793146557
2022-08-18 00:00:00,-0.039609536222821824,0.32252626895171954,0.12558816868127104,-1.6411407250723542
2022-08-19 00:00:00,-0.14574945853623159,0.26893201167234226,0.007477387088401776,-1.7452532567129568
2022-08-22 00:00:00,-0.0958990172245726,0.19242173285784517,0.036415613683323404,-1.8070322372342533
2022-08-23 00:00:00,0.14397496635979787,0.22977272542689475,0.06256062775880507,-1.8647224671082616
2022-08-24 00:00:00,0.20860190636053635,0.24354073213378027,0.11170966623533371,-1.862234706620732
2022-08-25 00:00:00,0.29698227803337807,0.24407770837455953,0.25030559779259853,-1.8546790656994274
2022-08-26 00:00:00,0.22887096555514463,0.2593129801311864,0.19694349633033156,-1.8199429331759571
2022-08-29 00:00:00,0.2437018835334363,0.21567951727257856,0.2807388665440585,-1.8284007583306003
2022-08-30 00:00:00,0.15039342434707642,0.2125306860905958,0.10544752640808537,-1.7745351165265701
2022-08-31 00:00:00,-0.08025744851779655,0.18120802039006792,0.06807921036978852,-1.7470852290572556
2022-09-01 00:00:00,-0.08330690156996937,0.11270133245210093,-0.05880334730188522,-1.7319770187946344
2022-09-02 00:00:00,-0.12613354567737214,0.13632228171044825,-0.014775703740678102,-1.7743792647659993
2022-09-05 00:00:00,-0.05077308919491472,0.15962189512513744,-0.006041090508376907,-1.8041468920537884
2022-09-06 00:00:00,-0.0514243780799705,0.18565569174810453,0.0001169687060113434,-1.7912394109733036
2022-09-07 00:00:00,-0.18604684330635554,0.19907944163251934,-0.06635693818118407,-1.812402310339582
2022-09-08 00:00:00,-0.06441202463427638,0.2098769029284546,-0.048090293817088195,-1.7447845780747546
2022-09-09 00:00:00,0.06360796203182618,0.2606365957747366,0.025762642375345604,-1.7281394072999012
2022-09-12 00:00:00,0.12119251142412511,0.3173131956128189,0.03138096460791248,-1.674921594687418
2022-09-13 00:00:00,-0.045921972193198664,0.28976787461627557,-0.17381724367254942,-1.6379655649025753
2022-09-14 00:00:00,-0.1309772614941723,0.3262578357917252,-0.1329125697929426,-1.7804385596390853
2022-09-15 00:00:00,-0.1225072166648929,0.3430579146300746,-0.1530855736872295,-1.7735967052490849
2022-09-16 00:00:00,-0.2298059295889888,0.23691603496075536,-0.21859912340234972,-1.779869541287396
2022-09-19 00:00:00,-0.10614500692736009,0.24405423349197464,-0.19651144503980342,-1.747020455713662
2022-09-20 00:00:00,-0.060647124415996304,0.26460472462794515,-0.18841457901596984,-1.7252866519103058
2022-09-21 00:00:00,-0.06507171435330597,0.2516289855135025,-0.20572905914999523,-1.793769265654492
2022-09-22 00:00:00,-0.003767149067779871,0.32268936944447324,-0.2155270807153032,-1.9596594637551124
2022-09-23 00:00:00,-0.048777947606747994,0.16492705606057123,-0.482683275118575,-1.9263151439410922
2022-09-26 00:00:00,-0.41252118104788416,0.10050304839928277,-0.40037386949738496,-2.0153848059510318
2022-09-27 00:00:00,-0.6436199662967643,0.12764520705003773,-0.33342346828888664,-2.0641515305589784
2022-09-28 00:00:00,-0.6240090917830231,0.17744346502514544,-0.35982503258006404,-2.1137213388048304
2022-09-29 00:00:00,-0.6597076601121701,0.1169741538581902,-0.42557794508924707,-2.0792565488372383
2022-09-30 00:00:00,-0.5740838235897454,0.1565809823565421,-0.35712727599066874,-2.049494048065097
2022-10-03 00:00:00,-0.49782035754565673,0.14466072680024578,-0.320705793157147,-2.054027543710404
2022-10-04 00:00:00,-0.8087974620257637,0.12926167045289202,-0.3851854678517893,-2.0081509813610525
2022-10-05 00:00:00,-0.7548035728819144,0.12693379118312006,-0.4490473565293959,-1.9256222578032063
2022-10-06 00:00:00,-0.7504046731317279,0.1520330877888127,-0.3948481825875279,-1.9802147803731225
2022-10-07 00:00:00,-0.8236128146594854,0.1298434306696453,-0.3815191968919643,-2.1667175192391697
2022-10-10 00:00:00,-0.8192476122160329,0.15401261149458892,-0.42963312696823375,-2.1639402700453365
2022-10-11 00:00:00,-0.8416492099769208,0.09575241535241538,-0.4039758812995743,-2.1735083860438764
2022-10-12 00:00:00,-0.9081088249939906,0.10678425364502975,-0.3903831724018383,-2.1705203182365547
2022-10-13 00:00:00,-0.9112178021557976,0.10269413285235512,-0.3332387487118756,-2.158088284146863
2022-10-14 00:00:00,-1.0095152277374735,0.10914634935535455,-0.27551695214524735,-2.087049650874345
2022-10-17 00:00:00,-0.970611515651491,0.14394143346569085,-0.27833172012649066,-2.1239251299944804
2022-10-18 00:00:00,-0.8431758296600508,0.11436032986295022,-0.29436552625321244,-2.0518012729769484
2022-10-19 00:00:00,-0.7489157105930305,0.1264951138216514,-0.3411843396853017,-2.0250182360943594
2022-10-20 00:00:00,-0.7319380295865298,0.1637574369396949,-0.2980336903189098,-2.100039709839893
2022-10-21 00:00:00,-0.5861569143266366,0.13608248648141405,-0.2275593043745144,-2.0607977947633302
2022-10-24 00:00:00,-0.7956930130024586,0.10137240130637831,-0.2707565126075657,-2.008784169838916
2022-10-25 00:00:00,-1.025653660936783,0.1481067647307815,-0.11646531599989156,-2.009110804819741
2022-10-26 00:00:00,-1.0784651973429726,0.09131305594122945,-0.11847514748168796,-1.9294634816756933
2022-10-27 00:00:00,-1.059308451592469,0.035215210437238034,-0.1505788318058329,-1.8384500646556028
2022-10-28 00:00:00,-1.0096081189986241,0.1299833154737371,-0.1876863465917657,-1.8909152879668676
2022-10-31 00:00:00,-0.9066355631631015,0.12025999556713443,-0.1374041361838428,-1.8940503370901025
2022-11-01 00:00:00,-0.8379771217856404,0.16578671766599237,-0.06777628649630373,-1.9306973833563632
2022-11-02 00:00:00,-0.8159957283987801,0.15299082918780574,-0.1010218114342457,-1.9145094917776329
2022-11-03 00:00:00,-0.7922321261912454,0.17660235863059442,-0.18818911856233086,-1.9213292635559387
2022-11-04 00:00:00,-0.6746813126630193,0.36570957813275073,-0.12073935432558323,-1.9519551085060665
2022-11-07 00:00:00,-0.6476548048849036,0.268516257027125,-0.17284055425585237,-1.8449468909346487
2022-11-08 00:00:00,-0.5733090054004106,0.2720508699200199,-0.25440121826595685,-1.76768092993641
2022-11-09 00:00:00,-0.7259108082860364,0.21198176489119383,-0.20921650271983486,-1.7519466682150644
2022-11-10 00:00:00,-1.0182322418485836,0.19284109633929597,-0.12110807148839244,-1.816964315249566
2022-11-11 00:00:00,-1.164744751375362,0.01849268741675913,-0.1135651932919157,-1.7035558054257485
2022-11-14 00:00:00,-0.9149289583181875,0.05095435898347886,-0.14740756937687707,-1.615610485702949
2022-11-15 00:00:00,-0.4842605373240459,0.13946703153966936,-0.027723768725891468,-1.6761855701552564
2022-11-16 00:00:00,-0.6568309913430085,0.14680389227524174,-0.040135504796078164,-1.6771282173846631
2022-11-17 00:00:00,-0.7475312351131972,0.1491106936102111,-0.0989334476130799,-1.600071842483614
2022-11-18 00:00:00,-0.7963715084901329,0.22757804931783096,-0.05182414769629119,-1.5859082830034366
2022-11-21 00:00:00,-0.7493858636347744,0.2406108414352374,-0.10118782695747117,-1.6000052868421086
2022-11-22 00:00:00,-0.7779783785164153,0.3420462233673373,-0.047485423252875594,-1.6506666797850706
2022-11-23 00:00:00,-0.7434352704139405,0.3538976687712424,-0.012835827558030281,-1.622070788971974
2022-11-24 00:00:00,-0.6533150916679865,0.3724502412479193,-0.03727697588413926,-1.5554201496919597
2022-11-25 00:00:00,-0.7865222499797456,0.3897817025924094,-0.025967616419553856,-1.5485095241065938
2022-11-28 00:00:00,-0.8560784224339152,0.41304652228838834,0.10310971892566491,-1.5583367320986465
2022-11-29 00:00:00,-0.7273788069727968,0.43913876274805885,0.0867643367416329,-1.5552556789238028
2022-11-30 00:00:00,-0.674053610323462,0.45171752146785366,0.16192226141482974,-1.555090966049884
2022-12-01 00:00:00,-0.7514328696318091,0.5134411033501378,0.2028952270672646,-1.473683102362292
2022-12-02 00:00:00,-0.6523489999821661,0.47014869260787984,0.21917790900765632,-1.4367323124438216
2022-12-05 00:00:00,-0.7453532224542881,0.49796596241440577,0.23077195807577208,-1.4021927980608533
2022-12-06 00:00:00,-0.6380686518784479,0.5015295341296164,0.24638091404568885,-1.4982205548040617
2022-12-07 00:00:00,-0.6187304482665805,0.5005800582097686,0.1976325648135284,-1.4833169371087238
2022-12-08 00:00:00,-0.6620933010165548,0.5235294953563285,0.2004706792228139,-1.4402046732339193
2022-12-09 00:00:00,-0.6486265793652234,0.5273041170069874,0.23934921587837035,-1.39558370884017
2022-12-12 00:00:00,-0.762748501982406,0.5737634498381707,0.25418543187943277,-1.4295415593429015
